StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1_1,Q3.1_2,Q3.1_3,Q3.1_4,Q4.1,Q4.2,Q4.3_1,Q4.3_2,Q4.3_3,Q5.1,Q5.2,Q6.1_1,Q6.2_1,Q6.3,Q6.3_4_TEXT
07/12/2023 6:37,07/12/2023 6:41,IP Address,100,258,TRUE,07/12/2023 6:41,R_SJlvlq8fKAfEk49,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Yes,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Very Unlikely,Neutral,Strongly Disagree,Disagree,Aware,Unsure,1992,Dutch,Male,
07/12/2023 6:49,07/12/2023 6:51,IP Address,100,106,TRUE,07/12/2023 6:51,R_2yllYzTLToVHSpn,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Disagree,Neutral,Extremely uncomfortable,Very Unlikely,Agree,Neutral,Disagree,Very unaware,Unsure,2003,Dutch,Female,
07/12/2023 7:26,07/12/2023 7:29,IP Address,100,134,TRUE,07/12/2023 7:29,R_26ankvINAwdIlBa,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Agree,Agree,Somewhat uncomfortable,Very Unlikely,Agree,Disagree,Agree,Unaware,No,2005,Indian,Male,
07/12/2023 7:27,07/12/2023 7:30,IP Address,100,206,TRUE,07/12/2023 7:30,R_3jTnzVme07XU5r1,qr,EN,Yes,Yes,Frequently,Yes,Occasionally,Yes,Disagree,Disagree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Yes,2002,Dutch,Male,
07/12/2023 7:34,07/12/2023 7:34,IP Address,100,47,TRUE,07/12/2023 7:34,R_3NUvxBnHIxyiSeE,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 7:48,07/12/2023 7:49,IP Address,100,61,TRUE,07/12/2023 7:49,R_3nV5DaXNnR8XKtB,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 7:51,07/12/2023 7:52,IP Address,100,31,TRUE,07/12/2023 7:52,R_302bzBBhEfrwqYR,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 7:55,07/12/2023 7:59,IP Address,100,220,TRUE,07/12/2023 7:59,R_2rwnWQQKMzbt2C3,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Disagree,Agree,Strongly Disagree,Neutral,Somewhat comfortable,Somewhat Unlikely,Agree,Strongly Disagree,Disagree,Unaware,No,2005,Turkish,Female,
07/12/2023 8:04,07/12/2023 8:07,IP Address,100,187,TRUE,07/12/2023 8:07,R_110X0OlQ2tAM6kv,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Agree,Disagree,Disagree,Neutral,Somewhat Likely,Agree,Agree,Neutral,Very unaware,Unsure,2005,French,Male,
07/12/2023 8:05,07/12/2023 8:07,IP Address,100,135,TRUE,07/12/2023 8:07,R_798fWTjrPGtavPH,anonymous,EN,Yes,Yes,Occasionally,Yes,Rarely,Yes,Neutral,Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Neutral,Neutral,Neutral,Unsure,2004,Chinese,Male,
07/12/2023 8:21,07/12/2023 8:23,IP Address,100,121,TRUE,07/12/2023 8:23,R_10GTR66qIj7tDhw,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Strongly Disagree,Strongly Agree,Somewhat uncomfortable,Somewhat Unlikely,Strongly Agree,Agree,Disagree,Very unaware,No,2004,Swiss,Male,
07/12/2023 8:24,07/12/2023 8:28,IP Address,100,244,TRUE,07/12/2023 8:28,R_2RWFu8kPHOqxFGK,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Extremely uncomfortable,Somewhat Unlikely,Agree,Agree,Agree,Unaware,Yes,2003,Dutch,Male,
07/12/2023 8:28,07/12/2023 8:33,IP Address,100,309,TRUE,07/12/2023 8:33,R_3lK3Bxp4JB1lmhV,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Agree,Neutral,Neutral,Neutral,Somewhat comfortable,Somewhat Likely,Agree,Disagree,Agree,Neutral,Unsure,2000,Dutch,Male,
07/12/2023 8:35,07/12/2023 8:37,IP Address,100,114,TRUE,07/12/2023 8:37,R_2OHnl7F4Yn4zsg6,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Disagree,Agree,Agree,Neutral,Very Unlikely,Agree,Disagree,Agree,Unaware,Unsure,2004,Swedish,Male,
07/12/2023 8:42,07/12/2023 8:45,IP Address,100,162,TRUE,07/12/2023 8:45,R_6lgUxNuimrOMvhD,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Disagree,Strongly Disagree,Agree,Neutral,Very Unlikely,Agree,Strongly Disagree,Disagree,Unaware,Unsure,2005,Dutch,Male,
07/12/2023 9:04,07/12/2023 9:06,IP Address,100,110,TRUE,07/12/2023 9:06,R_3khyMWqhtvcCepP,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Disagree,Agree,Neutral,Neutral,Extremely uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Yes,2003,British,Male,
07/12/2023 9:07,07/12/2023 9:08,IP Address,100,35,TRUE,07/12/2023 9:08,R_3EoGedFV4YlxAJH,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 9:13,07/12/2023 9:18,IP Address,100,272,TRUE,07/12/2023 9:18,R_1F3vZQRz0jGV2EE,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,No,Disagree,Agree,Strongly Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Very unaware,Yes,2003,Indian,Male,
07/12/2023 9:28,07/12/2023 9:30,IP Address,100,126,TRUE,07/12/2023 9:30,R_12hWcfz304M7qZZ,anonymous,EN,Yes,Yes,Rarely,Yes,Frequently,Unsure,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Very Unlikely,Agree,Disagree,Neutral,Aware,No,1998,Dutch,Female,
07/12/2023 9:35,07/12/2023 9:35,IP Address,100,28,TRUE,07/12/2023 9:35,R_1DLIZm8f8AG9t0t,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,
07/12/2023 10:20,07/12/2023 10:22,IP Address,100,144,TRUE,07/12/2023 10:22,R_3hneK77k7KQSDWJ,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,No,Disagree,Disagree,Neutral,Disagree,Somewhat comfortable,Very Unlikely,Agree,Disagree,Neutral,Neutral,Unsure,2005,Turkish,Male,
07/12/2023 11:30,07/12/2023 11:32,IP Address,100,99,TRUE,07/12/2023 11:32,R_1QGWVsfpl4uPKQW,qr,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Neutral,Agree,Somewhat uncomfortable,Neutral,Strongly Agree,Strongly Agree,Disagree,Very unaware,Unsure,2005,Bulgarian,Female,
07/12/2023 11:30,07/12/2023 11:32,IP Address,100,133,TRUE,07/12/2023 11:32,R_2DN2Cb05FNeNG0n,qr,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Agree,Disagree,Disagree,Neutral,Somewhat Likely,Agree,Neutral,Disagree,Unaware,Yes,2004,Indian,Female,
07/12/2023 11:30,07/12/2023 11:34,IP Address,100,282,TRUE,07/12/2023 11:34,R_3nBDT37qJP9oXGN,qr,EN,Yes,Yes,Occasionally,Yes,Frequently,No,Disagree,Neutral,Disagree,Disagree,Neutral,Somewhat Unlikely,Agree,Neutral,Neutral,Unaware,Unsure,2005,Indian,Female,
07/12/2023 11:53,07/12/2023 11:53,IP Address,100,27,TRUE,07/12/2023 11:53,R_1eLZAHiMRzIsJXX,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 12:03,07/12/2023 12:04,IP Address,100,97,TRUE,07/12/2023 12:04,R_T6K9gC62HSgrpsJ,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Neutral,Agree,Neutral,Agree,Somewhat uncomfortable,Somewhat Likely,Strongly Agree,Agree,Strongly Disagree,Neutral,Unsure,2003,American,Female,
07/12/2023 13:33,07/12/2023 13:35,IP Address,100,134,TRUE,07/12/2023 13:36,R_3P6R7neOl0qyaCV,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Extremely uncomfortable,Somewhat Unlikely,Agree,Agree,Strongly Disagree,Aware,Yes,2005,Dutch,Non-binary,
07/12/2023 13:44,07/12/2023 13:51,IP Address,100,453,TRUE,07/12/2023 13:51,R_3QKsYWsk3y5rdry,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Unsure,Neutral,Strongly Agree,Neutral,Neutral,Somewhat comfortable,Somewhat Likely,Strongly Disagree,Strongly Agree,Neutral,Very unaware,No,2003,Polish,Male,
07/12/2023 14:24,07/12/2023 14:24,IP Address,100,42,TRUE,07/12/2023 14:24,R_1IgxmtKRm7838kT,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 15:26,07/12/2023 15:27,IP Address,100,42,TRUE,07/12/2023 15:27,R_3n5WciREh49r8hH,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
07/12/2023 15:58,07/12/2023 16:01,IP Address,100,129,TRUE,07/12/2023 16:01,R_2R4vwSqvGvQsIbf,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Disagree,Neutral,Agree,Somewhat uncomfortable,Neutral,Neutral,Disagree,Disagree,Unaware,Unsure,2004,Spanish,Male,
07/12/2023 17:51,07/12/2023 17:54,IP Address,100,169,TRUE,07/12/2023 17:54,R_Y62vPsoehsUiVVv,anonymous,EN,Yes,Yes,Occasionally,Yes,Very rarely,Yes,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Very Unlikely,Strongly Agree,Strongly Disagree,Disagree,Unaware,Unsure,1997,Dutch,Female,
07/12/2023 19:57,07/12/2023 20:01,IP Address,100,198,TRUE,07/12/2023 20:01,R_zdSCZXf59CxFJkJ,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
08/12/2023 0:36,08/12/2023 0:37,IP Address,100,22,TRUE,08/12/2023 0:37,R_2zbSpw4KlIgdytZ,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
08/12/2023 2:48,08/12/2023 2:52,IP Address,100,270,TRUE,08/12/2023 2:52,R_3KIx2xIV03cj0j7,anonymous,EN,Yes,Yes,Rarely,Yes,Occasionally,Unsure,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Very Unlikely,Neutral,Strongly Disagree,Agree,Aware,No,2005,Dutch,Male,
08/12/2023 3:42,08/12/2023 3:42,IP Address,100,26,TRUE,08/12/2023 3:42,R_10Mj7xlPJFx1vmm,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
08/12/2023 4:11,08/12/2023 4:14,IP Address,100,214,TRUE,08/12/2023 4:14,R_30x88XiMLy1jErG,qr,EN,Yes,Yes,Frequently,No,,No,Disagree,Strongly Disagree,Disagree,Neutral,Somewhat comfortable,Somewhat Unlikely,Neutral,Disagree,Neutral,Unaware,Unsure,2001,Dutch,Male,
08/12/2023 6:13,08/12/2023 6:15,IP Address,100,114,TRUE,08/12/2023 6:15,R_SCtlKsvy8G8Drxf,anonymous,EN,Yes,Yes,Frequently,Yes,Very frequently,Unsure,Strongly Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Neutral,Agree,Strongly Disagree,Unaware,Yes,1991,British,Male,
08/12/2023 6:42,08/12/2023 6:42,IP Address,100,19,TRUE,08/12/2023 6:42,R_z0F6GQuxjafPK1P,qr,EN,Yes,No,,,,,,,,,,,,,,,,,,,
08/12/2023 6:50,08/12/2023 6:50,IP Address,100,20,TRUE,08/12/2023 6:50,R_C3MJziJVKAOwrTz,qr,EN,Yes,No,,,,,,,,,,,,,,,,,,,
08/12/2023 7:50,08/12/2023 7:54,IP Address,100,185,TRUE,08/12/2023 7:54,R_5duOcc3UNw4l4HL,qr,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Disagree,Disagree,Disagree,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Agree,Very unaware,Yes,2001,French,Male,
08/12/2023 7:50,08/12/2023 8:10,IP Address,100,1187,TRUE,08/12/2023 8:10,R_334l6vuDOElhKDw,qr,EN,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Disagree,Strongly Agree,Neutral,Neutral,Somewhat uncomfortable,Somewhat Unlikely,Agree,Agree,Disagree,Very unaware,Yes,2000,Italian,Female,
08/12/2023 8:48,08/12/2023 8:51,IP Address,100,199,TRUE,08/12/2023 8:51,R_1nTRNv1TflMbM2q,qr,EN,Yes,Yes,Occasionally,No,,Unsure,Neutral,Agree,Agree,Agree,Somewhat comfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Unsure,2002,Slovak,Male,
08/12/2023 8:51,08/12/2023 8:53,IP Address,100,89,TRUE,08/12/2023 8:53,R_214hb3fARkNH4jp,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,Neutral,Disagree,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Neutral,Aware,Unsure,2002,Romanian,Female,
08/12/2023 10:51,08/12/2023 10:52,IP Address,100,51,TRUE,08/12/2023 10:52,R_RQbWYuUOW4qyRBD,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
08/12/2023 16:36,08/12/2023 16:37,IP Address,100,20,TRUE,08/12/2023 16:37,R_1hzhaF6cYZmq4vc,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
09/12/2023 1:36,09/12/2023 1:36,IP Address,100,12,TRUE,09/12/2023 1:36,R_1HnLlls0OiWXpyw,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
09/12/2023 4:15,09/12/2023 4:15,IP Address,100,32,TRUE,09/12/2023 4:15,R_2YVVv3DcEZGWFJL,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
09/12/2023 8:43,09/12/2023 8:43,IP Address,100,16,TRUE,09/12/2023 8:43,R_9QWOTPnAimD9AoV,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
10/12/2023 2:24,10/12/2023 2:28,IP Address,100,210,TRUE,10/12/2023 2:28,R_1msVv5ZVDaVspae,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Neutral,Neutral,Disagree,Neutral,Somewhat comfortable,Somewhat Likely,Disagree,Neutral,Disagree,Aware,Unsure,1996,Dutch,Female,
10/12/2023 4:41,10/12/2023 4:41,IP Address,100,33,TRUE,10/12/2023 4:41,R_31L52lYkw4uXPaV,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
10/12/2023 6:04,10/12/2023 6:06,IP Address,100,108,TRUE,10/12/2023 6:06,R_0j2punXVVavH45z,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Unaware,Unsure,2004,Vietnamese,Male,
10/12/2023 13:05,10/12/2023 13:06,IP Address,100,75,TRUE,10/12/2023 13:06,R_1IWrAjWxu6oVxY6,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Neutral,Neutral,Neutral,Somewhat uncomfortable,Very Likely,Agree,Agree,Agree,Unaware,Unsure,1997,Canadian,Female,
04/12/2023 4:24,04/12/2023 4:27,IP Address,44,193,FALSE,11/12/2023 4:27,R_Xojz7mrznBVb4U9,anonymous,EN,Yes,Yes,Occasionally,No,,Unsure,,,,,,,,,,,,,,,
11/12/2023 5:38,11/12/2023 5:40,IP Address,100,124,TRUE,11/12/2023 5:40,R_bQM3NL6wuMd6yVb,anonymous,EN,Yes,Yes,Very frequently,Yes,Frequently,Unsure,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Extremely uncomfortable,Very Likely,Strongly Agree,Strongly Agree,Neutral,Very unaware,Yes,2004,Indian,Female,
11/12/2023 6:35,11/12/2023 6:39,IP Address,100,221,TRUE,11/12/2023 6:39,R_2YhbnUXdYFt5oOa,anonymous,EN,Yes,Yes,Frequently,No,,Unsure,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Very Unlikely,Agree,Disagree,Neutral,Very unaware,Unsure,2003,Indian,Female,
11/12/2023 6:46,11/12/2023 6:47,IP Address,100,87,TRUE,11/12/2023 6:47,R_3PaxH5wZiBq9pXn,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Unsure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat uncomfortable,Very Likely,Neutral,Strongly Agree,Strongly Agree,Very unaware,Unsure,2004,Indian,Female,
04/12/2023 7:01,04/12/2023 7:08,IP Address,50,385,FALSE,11/12/2023 7:08,R_2dMwnjVl2PDnkZE,anonymous,EN,Yes,Yes,Occasionally,Yes,Occasionally,Unsure,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,
04/12/2023 7:09,04/12/2023 7:10,IP Address,44,61,FALSE,11/12/2023 7:10,R_qBYWlBGkfCJBFKh,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Yes,,,,,,,,,,,,,,,
04/12/2023 7:08,04/12/2023 7:10,IP Address,44,65,FALSE,11/12/2023 7:10,R_3fNzI71YaXwvteX,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,Unsure,,,,,,,,,,,,,,,
11/12/2023 7:22,11/12/2023 7:26,IP Address,100,268,TRUE,11/12/2023 7:26,R_3n0MRcrQShp7KxM,anonymous,EN,Yes,Yes,Very frequently,Yes,Occasionally,Yes,Agree,Agree,Agree,Agree,Somewhat comfortable,Somewhat Likely,Agree,Agree,Agree,Very unaware,Unsure,1998,Dutch,Male,
11/12/2023 7:56,11/12/2023 8:01,IP Address,100,306,TRUE,11/12/2023 8:01,R_5BWPHke4Vrvlys9,qr,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Disagree,Neutral,Strongly Disagree,Neutral,Somewhat uncomfortable,Neutral,Strongly Agree,Disagree,Agree,Unaware,Unsure,2003,Dutch,Female,
04/12/2023 8:08,04/12/2023 8:08,IP Address,19,11,FALSE,11/12/2023 8:17,R_3Paw5wewMo4TWwI,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,
11/12/2023 8:46,11/12/2023 8:46,IP Address,100,23,TRUE,11/12/2023 8:46,R_28OnJDXlh0B41uR,anonymous,EN,Yes,No,,,,,,,,,,,,,,,,,,,
11/12/2023 9:31,11/12/2023 9:33,IP Address,100,130,TRUE,11/12/2023 9:33,R_uyuHRIqBsr7vgQh,qr,EN,Yes,Yes,Frequently,Yes,Occasionally,Yes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Extremely uncomfortable,Somewhat Likely,Agree,Agree,Disagree,Very unaware,Yes,2004,Polish,Female,
11/12/2023 14:12,11/12/2023 14:15,IP Address,100,182,TRUE,11/12/2023 14:15,R_1IiqRonvE7bfUoe,anonymous,EN,Yes,Yes,Frequently,Yes,Frequently,No,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Yes,2004,Indian,Female,
04/12/2023 7:00,05/12/2023 2:23,IP Address,44,69823,FALSE,12/12/2023 2:23,R_3FIMKRx9c1m03NC,anonymous,EN,Yes,Yes,Frequently,Yes,Rarely,No,,,,,,,,,,,,,,,
12/12/2023 5:24,12/12/2023 5:28,IP Address,100,275,TRUE,12/12/2023 5:28,R_1FEaYUpuyFcQjCa,qr,EN,Yes,Yes,Occasionally,Yes,Frequently,No,Disagree,Disagree,Neutral,Disagree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Aware,Yes,1999,Indian,Male,
12/12/2023 5:26,12/12/2023 5:30,IP Address,100,251,TRUE,12/12/2023 5:30,R_9NtK9vKmu5qsJ0J,anonymous,EN,Yes,Yes,Rarely,Yes,Occasionally,Unsure,Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Somewhat Likely,Agree,Neutral,Agree,Very unaware,Unsure,2003,South African,Female,
12/12/2023 5:31,12/12/2023 5:33,IP Address,100,129,TRUE,12/12/2023 5:33,R_1k16DNTKJ4KR2hd,anonymous,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Unaware,Unsure,1994,Finnish,Female,
12/12/2023 5:31,12/12/2023 5:33,IP Address,100,150,TRUE,12/12/2023 5:33,R_1HpkuR0MRZr2ATp,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Strongly Disagree,Disagree,Extremely uncomfortable,Somewhat Likely,Agree,Strongly Agree,Strongly Disagree,Very unaware,Yes,2004,American,Female,
12/12/2023 5:31,12/12/2023 5:36,IP Address,100,331,TRUE,12/12/2023 5:36,R_3lLbVveZ4HSXuup,qr,EN,Yes,Yes,Frequently,Yes,Occasionally,Unsure,Agree,Neutral,Neutral,Agree,Somewhat uncomfortable,Somewhat Unlikely,Agree,Neutral,Disagree,Unaware,Unsure,2004,Portuguese,Male,
12/12/2023 5:33,12/12/2023 5:40,IP Address,100,383,TRUE,12/12/2023 5:40,R_1nNtWruvpZjKG2e,anonymous,EN,Yes,Yes,Occasionally,Yes,Frequently,Unsure,Disagree,Agree,Disagree,Disagree,Somewhat uncomfortable,Very Likely,Strongly Agree,Disagree,Agree,Neutral,Unsure,1999,Turkish,Female,
12/12/2023 5:34,12/12/2023 5:46,IP Address,100,741,TRUE,12/12/2023 5:46,R_3dTh9se0FyR6ndu,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Agree,Agree,Strongly Disagree,Agree,Extremely uncomfortable,Very Likely,Strongly Agree,Strongly Agree,Strongly Disagree,Very unaware,Yes,2002,Dutch,Female,
12/12/2023 5:35,12/12/2023 5:47,IP Address,100,712,TRUE,12/12/2023 5:47,R_ByMLMBFVuj47NNT,anonymous,EN,Yes,Yes,Frequently,No,,Unsure,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Very aware,Unsure,1997,Albanian,Female,
12/12/2023 5:41,12/12/2023 5:57,IP Address,100,992,TRUE,12/12/2023 5:57,R_SCPNPum7NWux5p7,qr,EN,Yes,Yes,Occasionally,Yes,Occasionally,No,Disagree,Disagree,Disagree,Disagree,Extremely comfortable,Somewhat Likely,Agree,Neutral,Disagree,Aware,Yes,2004,Filipino,Female,
12/12/2023 5:52,12/12/2023 6:01,IP Address,100,547,TRUE,12/12/2023 6:01,R_8CU1MWHozIWJpnj,anonymous,EN,Yes,Yes,Very frequently,Yes,Very frequently,Yes,Neutral,Strongly Agree,Neutral,Neutral,Somewhat comfortable,Very Likely,Agree,Disagree,Strongly Agree,Aware,Unsure,1999,Dutch,Female,
